Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	P_DCH	
4.97	0.034103234	0.033133509	0.038828011	0.024184792	0.022754394	0.00021626259	0.037990952	
4.98	0.033977352	0.033013309	0.038708696	0.024070969	0.022710642	0.00021583771	0.037867631	
4.99	0.033852097	0.032893694	0.03858997	0.02395779	0.022667057	0.0002154145	0.037744923	
5	0.033727464	0.032774661	0.038471829	0.02384525	0.02262364	0.00021499294	0.037622825	
5.01	0.033603451	0.032656206	0.038354271	0.023733347	0.02258039	0.00021457303	0.037501335	
5.02	0.033480053	0.032538327	0.038237291	0.023622076	0.022537305	0.00021415477	0.037380448	
5.03	0.033357267	0.032421021	0.038120888	0.023511433	0.022494384	0.00021373813	0.037260161	
5.04	0.033235091	0.032304283	0.038005057	0.023401414	0.022451627	0.00021332311	0.037140471	
5.05	0.03311352	0.032188112	0.037889795	0.023292015	0.022409033	0.0002129097	0.037021374	
5.06	0.032992551	0.032072504	0.037775101	0.023183232	0.022366601	0.00021249789	0.036902868	
5.07	0.03287218	0.031957456	0.037660969	0.023075061	0.022324329	0.00021208767	0.036784948	
5.08	0.032752405	0.031842965	0.037547398	0.022967499	0.022282217	0.00021167903	0.036667611	
5.09	0.032633222	0.031729028	0.037434384	0.02286054	0.022240264	0.00021127197	0.036550855	
5.1	0.032514627	0.031615641	0.037321924	0.022754182	0.022198469	0.00021086647	0.036434676	
5.11	0.032396618	0.031502803	0.037210015	0.022648421	0.022156831	0.00021046253	0.03631907	
5.12	0.03227919	0.03139051	0.037098654	0.022543253	0.02211535	0.00021006013	0.036204035	
5.13	0.032162342	0.031278759	0.036987839	0.022438674	0.022074024	0.00020965927	0.036089566	
5.14	0.032046068	0.031167546	0.036877565	0.02233468	0.022032852	0.00020925993	0.035975662	
5.15	0.031930367	0.03105687	0.03676783	0.022231268	0.021991835	0.00020886212	0.035862318	
5.16	0.031815235	0.030946727	0.036658632	0.022128434	0.021950969	0.00020846582	0.035749532	
5.17	0.031700668	0.030837114	0.036549967	0.022026174	0.021910256	0.00020807101	0.035637301	
5.18	0.031586664	0.030728028	0.036441831	0.021924484	0.021869694	0.00020767771	0.03552562	
5.19	0.031473219	0.030619467	0.036334224	0.021823362	0.021829282	0.00020728589	0.035414488	
5.2	0.03136033	0.030511427	0.03622714	0.021722802	0.02178902	0.00020689554	0.0353039	
5.21	0.031247994	0.030403906	0.036120578	0.021622803	0.021748906	0.00020650666	0.035193855	
5.22	0.031136208	0.030296901	0.036014534	0.02152336	0.02170894	0.00020611925	0.035084348	
5.23	0.031024969	0.030190408	0.035909007	0.021424469	0.021669121	0.00020573328	0.034975378	
