Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
1.42	0.02814237	0.02688662	0.02662556	0.03206038	
1.43	0.02973357	0.02830122	0.02817613	0.03366537	
1.44	0.03132909	0.02972215	0.02973332	0.03526616	
1.45	0.03292585	0.03114662	0.03129402	0.03685995	
1.46	0.03452097	0.03257199	0.03285533	0.03844411	
1.47	0.03611175	0.03399583	0.03441456	0.04001623	
1.48	0.03769571	0.03541584	0.03596917	0.04157410	
1.49	0.03927054	0.03682988	0.03751684	0.04311567	
1.5	0.04083410	0.03823599	0.03905539	0.04463909	
1.51	0.04238442	0.03963232	0.04058282	0.04614266	
1.52	0.04391968	0.04101719	0.04209729	0.04762483	
1.53	0.04543823	0.04238903	0.04359708	0.04908421	
1.54	0.04693853	0.04374639	0.04508065	0.05051954	
1.55	0.04841922	0.04508797	0.04654657	0.05192970	
1.56	0.04987902	0.04641257	0.04799354	0.05331369	
1.57	0.05131681	0.04771907	0.04942039	0.05467063	
1.58	0.05273156	0.04900650	0.05082604	0.05599974	
1.59	0.05412236	0.05027395	0.05220954	0.05730036	
1.6	0.05548841	0.05152063	0.05357005	0.05857191	
1.61	0.05682897	0.05274580	0.05490679	0.05981391	
1.62	0.05814343	0.05394884	0.05621910	0.06102597	
1.63	0.05943125	0.05512918	0.05750640	0.06220775	
1.64	0.06069197	0.05628634	0.05876817	0.06335902	
1.65	0.06192519	0.05741989	0.06000399	0.06447959	
1.66	0.06313061	0.05852949	0.06121349	0.06556936	
1.67	0.06430796	0.05961483	0.06239638	0.06662826	
1.68	0.06545706	0.06067567	0.06355243	0.06765630	
1.69	0.06657777	0.06171183	0.06468144	0.06865352	
1.7	0.06767001	0.06272316	0.06578330	0.06962002	
1.71	0.06873374	0.06370958	0.06685794	0.07055594	
1.72	0.06976898	0.06467103	0.06790531	0.07146145	
1.73	0.07077576	0.06560749	0.06892543	0.07233678	
1.74	0.07175420	0.06651900	0.06991834	0.07318216	
1.75	0.07270441	0.06740561	0.07088415	0.07399787	
1.76	0.07362655	0.06826741	0.07182296	0.07478422	
1.77	0.07452081	0.06910452	0.07273493	0.07554152	
1.78	0.07538741	0.06991709	0.07362023	0.07627015	
1.79	0.07622659	0.07070529	0.07447908	0.07697045	
1.8	0.07703861	0.07146930	0.07531169	0.07764283	
1.81	0.07782376	0.07220934	0.07611832	0.07828768	
1.82	0.07858235	0.07292564	0.07689924	0.07890542	
1.83	0.07931470	0.07361846	0.07765474	0.07949648	
1.84	0.08002114	0.07428805	0.07838512	0.08006131	
1.85	0.08070202	0.07493470	0.07909069	0.08060034	
1.86	0.08135771	0.07555868	0.07977179	0.08111404	
1.87	0.08198858	0.07616032	0.08042876	0.08160288	
1.88	0.08259501	0.07673991	0.08106195	0.08206731	
1.89	0.08317739	0.07729778	0.08167172	0.08250781	
1.9	0.08373611	0.07783425	0.08225845	0.08292486	
1.91	0.08427159	0.07834966	0.08282249	0.08331893	
1.92	0.08478422	0.07884436	0.08336424	0.08369051	
1.93	0.08527442	0.07931868	0.08388407	0.08404006	
1.94	0.08574260	0.07977297	0.08438239	0.08436806	
1.95	0.08618918	0.08020759	0.08485957	0.08467500	
1.96	0.08661457	0.08062289	0.08531600	0.08496135	
1.97	0.08701920	0.08101923	0.08575210	0.08522758	
1.98	0.08740347	0.08139696	0.08616824	0.08547415	
1.99	0.08776781	0.08175645	0.08656482	0.08570154	
2	0.08811264	0.08209805	0.08694224	0.08591021	
2.01	0.08843835	0.08242211	0.08730088	0.08610060	
2.02	0.08874538	0.08272901	0.08764115	0.08627318	
2.03	0.08903412	0.08301908	0.08796343	0.08642839	
2.04	0.08930499	0.08329268	0.08826811	0.08656668	
2.05	0.08955838	0.08355018	0.08855557	0.08668847	
2.06	0.08979470	0.08379190	0.08882619	0.08679420	
2.07	0.09001433	0.08401821	0.08908036	0.08688430	
2.08	0.09021768	0.08422944	0.08931843	0.08695918	
2.09	0.09040512	0.08442594	0.08954080	0.08701926	
2.1	0.09057705	0.08460804	0.08974781	0.08706493	
2.11	0.09073383	0.08477607	0.08993984	0.08709660	
2.12	0.09087583	0.08493036	0.09011724	0.08711466	
2.13	0.09100344	0.08507124	0.09028036	0.08711949	
2.14	0.09111699	0.08519903	0.09042955	0.08711148	
2.15	0.09121686	0.08531405	0.09056515	0.08709099	
2.16	0.09130340	0.08541660	0.09068751	0.08705839	
2.17	0.09137694	0.08550700	0.09079695	0.08701403	
2.18	0.09143782	0.08558554	0.09089379	0.08695827	
2.19	0.09148639	0.08565254	0.09097838	0.08689145	
2.2	0.09152296	0.08570827	0.09105101	0.08681390	
2.21	0.09154787	0.08575303	0.09111200	0.08672595	
2.22	0.09156142	0.08578711	0.09116166	0.08662794	
2.23	0.09156392	0.08581078	0.09120029	0.08652016	
2.24	0.09155569	0.08582432	0.09122818	0.08640294	
2.25	0.09153702	0.08582799	0.09124562	0.08627657	
2.26	0.09150820	0.08582207	0.09125290	0.08614136	
2.27	0.09146952	0.08580681	0.09125030	0.08599758	
2.28	0.09142126	0.08578247	0.09123808	0.08584552	
2.29	0.09136370	0.08574929	0.09121652	0.08568546	
2.3	0.09129711	0.08570753	0.09118588	0.08551767	
2.31	0.09122175	0.08565742	0.09114642	0.08534241	
2.32	0.09113788	0.08559920	0.09109839	0.08515993	
2.33	0.09104576	0.08553310	0.09104204	0.08497050	
2.34	0.09094563	0.08545935	0.09097760	0.08477435	
2.35	0.09083774	0.08537817	0.09090532	0.08457172	
2.36	0.09072233	0.08528977	0.09082543	0.08436286	
2.37	0.09059962	0.08519438	0.09073815	0.08414797	
2.38	0.09046984	0.08509219	0.09064371	0.08392729	
2.39	0.09033322	0.08498341	0.09054232	0.08370104	
2.4	0.09018998	0.08486825	0.09043420	0.08346942	
2.41	0.09004032	0.08474689	0.09031955	0.08323264	
2.42	0.08988445	0.08461952	0.09019858	0.08299090	
2.43	0.08972258	0.08448634	0.09007148	0.08274439	
2.44	0.08955491	0.08434753	0.08993845	0.08249331	
2.45	0.08938162	0.08420326	0.08979967	0.08223784	
2.46	0.08920290	0.08405371	0.08965534	0.08197817	
2.47	0.08901894	0.08389905	0.08950563	0.08171446	
2.48	0.08882993	0.08373944	0.08935072	0.08144689	
2.49	0.08863602	0.08357505	0.08919078	0.08117563	
2.5	0.08843740	0.08340604	0.08902598	0.08090083	
2.51	0.08823424	0.08323256	0.08885649	0.08062266	
2.52	0.08802669	0.08305476	0.08868246	0.08034127	
2.53	0.08781491	0.08287280	0.08850405	0.08005680	
2.54	0.08759907	0.08268681	0.08832141	0.07976941	
2.55	0.08737930	0.08249694	0.08813470	0.07947923	
2.56	0.08715576	0.08230332	0.08794405	0.07918641	
2.57	0.08692860	0.08210609	0.08774961	0.07889107	
2.58	0.08669794	0.08190539	0.08755152	0.07859334	
2.59	0.08646393	0.08170132	0.08734991	0.07829336	
2.6	0.08622671	0.08149404	0.08714491	0.07799123	
2.61	0.08598639	0.08128364	0.08693665	0.07768710	
2.62	0.08574311	0.08107026	0.08672526	0.07738106	
2.63	0.08549699	0.08085400	0.08651086	0.07707323	
2.64	0.08524815	0.08063499	0.08629356	0.07676372	
2.65	0.08499670	0.08041333	0.08607349	0.07645264	
2.66	0.08474277	0.08018912	0.08585075	0.07614009	
2.67	0.08448645	0.07996248	0.08562545	0.07582616	
2.68	0.08422787	0.07973350	0.08539771	0.07551096	
2.69	0.08396711	0.07950228	0.08516761	0.07519459	
2.7	0.08370429	0.07926893	0.08493528	0.07487712	
2.71	0.08343951	0.07903353	0.08470080	0.07455865	
2.72	0.08317285	0.07879617	0.08446427	0.07423927	
2.73	0.08290443	0.07855695	0.08422579	0.07391906	
2.74	0.08263431	0.07831595	0.08398544	0.07359810	
2.75	0.08236261	0.07807326	0.08374332	0.07327646	
2.76	0.08208939	0.07782896	0.08349951	0.07295423	
2.77	0.08181475	0.07758312	0.08325409	0.07263148	
2.78	0.08153877	0.07733584	0.08300715	0.07230828	
2.79	0.08126153	0.07708718	0.08275877	0.07198470	
2.8	0.08098311	0.07683721	0.08250902	0.07166080	
2.81	0.08070357	0.07658602	0.08225798	0.07133665	
2.82	0.08042300	0.07633367	0.08200572	0.07101232	
2.83	0.08014146	0.07608022	0.08175231	0.07068786	
2.84	0.07985903	0.07582575	0.08149783	0.07036333	
2.85	0.07957577	0.07557032	0.08124234	0.07003880	
2.86	0.07929174	0.07531400	0.08098590	0.06971430	
2.87	0.07900702	0.07505683	0.08072858	0.06938991	
2.88	0.07872165	0.07479889	0.08047045	0.06906567	
2.89	0.07843571	0.07454023	0.08021155	0.06874162	
