Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	
4.91	0.03487187	0.03386718	0.03955645	0.02488149	
4.92	0.03474216	0.03374340	0.03943354	0.02476372	
4.93	0.03461309	0.03362023	0.03931123	0.02464661	
4.94	0.03448467	0.03349766	0.03918953	0.02453017	
4.95	0.03435689	0.03337569	0.03906843	0.02441439	
4.96	0.03422975	0.03325431	0.03894793	0.02429926	
4.97	0.03410323	0.03313352	0.03882802	0.02418479	
4.98	0.03397735	0.03301332	0.03870871	0.02407097	
4.99	0.03385210	0.03289370	0.03858998	0.02395779	
5	0.03372746	0.03277467	0.03847184	0.02384525	
5.01	0.03360345	0.03265622	0.03835428	0.02373335	
5.02	0.03348005	0.03253834	0.03823730	0.02362208	
5.03	0.03335727	0.03242103	0.03812090	0.02351143	
5.04	0.03323509	0.03230429	0.03800507	0.02340141	
5.05	0.03311352	0.03218812	0.03788981	0.02329202	
5.06	0.03299255	0.03207251	0.03777511	0.02318323	
5.07	0.03287218	0.03195746	0.03766098	0.02307506	
5.08	0.03275241	0.03184297	0.03754741	0.02296750	
5.09	0.03263322	0.03172904	0.03743439	0.02286054	
5.1	0.03251463	0.03161565	0.03732193	0.02275418	
5.11	0.03239662	0.03150281	0.03721003	0.02264842	
5.12	0.03227919	0.03139052	0.03709866	0.02254325	
5.13	0.03216234	0.03127877	0.03698785	0.02243867	
5.14	0.03204607	0.03116755	0.03687757	0.02233468	
5.15	0.03193037	0.03105688	0.03676784	0.02223127	
5.16	0.03181523	0.03094674	0.03665864	0.02212843	
5.17	0.03170067	0.03083712	0.03654998	0.02202617	
5.18	0.03158666	0.03072804	0.03644184	0.02192448	
5.19	0.03147322	0.03061948	0.03633423	0.02182336	
5.2	0.03136033	0.03051144	0.03622715	0.02172280	
5.21	0.03124799	0.03040391	0.03612059	0.02162280	
5.22	0.03113621	0.03029691	0.03601454	0.02152336	
5.23	0.03102497	0.03019042	0.03590902	0.02142447	
5.24	0.03091427	0.03008443	0.03580400	0.02132613	
5.25	0.03080412	0.02997896	0.03569950	0.02122833	
5.26	0.03069450	0.02987399	0.03559550	0.02113108	
5.27	0.03058542	0.02976952	0.03549200	0.02103436	
5.28	0.03047686	0.02966555	0.03538901	0.02093818	
5.29	0.03036884	0.02956208	0.03528652	0.02084253	
5.3	0.03026134	0.02945909	0.03518452	0.02074741	
5.31	0.03015436	0.02935661	0.03508302	0.02065282	
5.32	0.03004791	0.02925460	0.03498200	0.02055875	
5.33	0.02994197	0.02915309	0.03488148	0.02046519	
5.34	0.02983654	0.02905205	0.03478144	0.02037215	
5.35	0.02973162	0.02895150	0.03468188	0.02027963	
5.36	0.02962721	0.02885142	0.03458280	0.02018761	
5.37	0.02952331	0.02875182	0.03448420	0.02009609	
5.38	0.02941991	0.02865269	0.03438607	0.02000508	
5.39	0.02931700	0.02855403	0.03428842	0.01991457	
5.4	0.02921460	0.02845584	0.03419123	0.01982455	
5.41	0.02911268	0.02835811	0.03409451	0.01973503	
5.42	0.02901126	0.02826084	0.03399825	0.01964600	
5.43	0.02891032	0.02816403	0.03390246	0.01955745	
5.44	0.02880987	0.02806768	0.03380712	0.01946938	
5.45	0.02870990	0.02797178	0.03371224	0.01938180	
5.46	0.02861041	0.02787633	0.03361782	0.01929469	
5.47	0.02851140	0.02778133	0.03352384	0.01920806	
5.48	0.02841286	0.02768678	0.03343031	0.01912190	
5.49	0.02831479	0.02759267	0.03333723	0.01903621	
5.5	0.02821719	0.02749901	0.03324460	0.01895098	
5.51	0.02812006	0.02740578	0.03315240	0.01886621	
5.52	0.02802339	0.02731299	0.03306064	0.01878191	
5.53	0.02792718	0.02722063	0.03296932	0.01869806	
5.54	0.02783143	0.02712871	0.03287843	0.01861466	
5.55	0.02773613	0.02703721	0.03278798	0.01853171	
5.56	0.02764129	0.02694614	0.03269795	0.01844922	
5.57	0.02754689	0.02685550	0.03260835	0.01836716	
5.58	0.02745295	0.02676528	0.03251918	0.01828555	
5.59	0.02735945	0.02667548	0.03243042	0.01820438	
5.6	0.02726639	0.02658609	0.03234209	0.01812365	
5.61	0.02717377	0.02649713	0.03225417	0.01804335	
5.62	0.02708159	0.02640857	0.03216667	0.01796348	
5.63	0.02698985	0.02632043	0.03207958	0.01788404	
5.64	0.02689853	0.02623269	0.03199290	0.01780503	
5.65	0.02680765	0.02614536	0.03190662	0.01772644	
5.66	0.02671719	0.02605843	0.03182076	0.01764827	
5.67	0.02662717	0.02597191	0.03173529	0.01757051	
5.68	0.02653756	0.02588578	0.03165023	0.01749318	
5.69	0.02644837	0.02580005	0.03156557	0.01741625	
5.7	0.02635960	0.02571472	0.03148130	0.01733974	
5.71	0.02627125	0.02562978	0.03139743	0.01726363	
5.72	0.02618331	0.02554523	0.03131395	0.01718793	
5.73	0.02609578	0.02546107	0.03123086	0.01711263	
5.74	0.02600866	0.02537730	0.03114816	0.01703773	
5.75	0.02592195	0.02529390	0.03106585	0.01696323	
5.76	0.02583564	0.02521090	0.03098392	0.01688912	
5.77	0.02574973	0.02512827	0.03090237	0.01681540	
5.78	0.02566422	0.02504602	0.03082120	0.01674208	
5.79	0.02557911	0.02496414	0.03074040	0.01666914	
5.8	0.02549440	0.02488264	0.03065998	0.01659659	
5.81	0.02541007	0.02480151	0.03057994	0.01652442	
5.82	0.02532614	0.02472075	0.03050027	0.01645263	
5.83	0.02524260	0.02464036	0.03042096	0.01638122	
5.84	0.02515944	0.02456033	0.03034203	0.01631018	
5.85	0.02507666	0.02448067	0.03026345	0.01623952	
5.86	0.02499427	0.02440137	0.03018524	0.01616923	
5.87	0.02491226	0.02432242	0.03010740	0.01609931	
5.88	0.02483062	0.02424384	0.03002991	0.01602975	
5.89	0.02474936	0.02416561	0.02995278	0.01596056	
5.9	0.02466847	0.02408773	0.02987600	0.01589173	
5.91	0.02458796	0.02401021	0.02979957	0.01582326	
5.92	0.02450781	0.02393303	0.02972350	0.01575515	
5.93	0.02442803	0.02385621	0.02964778	0.01568739	
5.94	0.02434862	0.02377973	0.02957240	0.01561999	
5.95	0.02426957	0.02370359	0.02949737	0.01555293	
5.96	0.02419088	0.02362779	0.02942268	0.01548623	
5.97	0.02411254	0.02355234	0.02934834	0.01541987	
5.98	0.02403457	0.02347722	0.02927433	0.01535386	
5.99	0.02395695	0.02340244	0.02920067	0.01528819	
6	0.02387968	0.02332800	0.02912733	0.01522286	
6.01	0.02380277	0.02325388	0.02905434	0.01515786	
6.02	0.02372620	0.02318010	0.02898167	0.01509321	
6.03	0.02364998	0.02310665	0.02890934	0.01502888	
6.04	0.02357410	0.02303353	0.02883733	0.01496489	
6.05	0.02349857	0.02296073	0.02876565	0.01490123	
6.06	0.02342338	0.02288825	0.02869430	0.01483790	
6.07	0.02334853	0.02281610	0.02862327	0.01477489	
6.08	0.02327401	0.02274426	0.02855256	0.01471221	
6.09	0.02319983	0.02267275	0.02848217	0.01464985	
6.1	0.02312599	0.02260155	0.02841210	0.01458781	
6.11	0.02305247	0.02253067	0.02834234	0.01452608	
6.12	0.02297929	0.02246010	0.02827290	0.01446468	
6.13	0.02290644	0.02238984	0.02820378	0.01440358	
6.14	0.02283391	0.02231989	0.02813496	0.01434280	
6.15	0.02276170	0.02225025	0.02806645	0.01428233	
6.16	0.02268982	0.02218092	0.02799826	0.01422217	
6.17	0.02261826	0.02211189	0.02793036	0.01416232	
6.18	0.02254702	0.02204317	0.02786278	0.01410276	
6.19	0.02247609	0.02197475	0.02779549	0.01404352	
6.2	0.02240549	0.02190662	0.02772851	0.01398457	
6.21	0.02233519	0.02183880	0.02766182	0.01392592	
6.22	0.02226521	0.02177127	0.02759544	0.01386757	
6.23	0.02219554	0.02170404	0.02752935	0.01380952	
6.24	0.02212617	0.02163710	0.02746356	0.01375176	
6.25	0.02205712	0.02157045	0.02739805	0.01369429	
6.26	0.02198837	0.02150409	0.02733284	0.01363711	
6.27	0.02191992	0.02143803	0.02726792	0.01358022	
6.28	0.02185178	0.02137225	0.02720329	0.01352362	
6.29	0.02178393	0.02130675	0.02713895	0.01346730	
6.3	0.02171638	0.02124154	0.02707489	0.01341127	
6.31	0.02164914	0.02117661	0.02701112	0.01335552	
6.32	0.02158218	0.02111196	0.02694762	0.01330004	
6.33	0.02151552	0.02104760	0.02688441	0.01324485	
6.34	0.02144916	0.02098351	0.02682148	0.01318993	
6.35	0.02138308	0.02091969	0.02675882	0.01313529	
6.36	0.02131729	0.02085616	0.02669645	0.01308092	
6.37	0.02125179	0.02079289	0.02663434	0.01302682	
6.38	0.02118658	0.02072990	0.02657251	0.01297300	
6.39	0.02112165	0.02066718	0.02651095	0.01291944	
6.4	0.02105700	0.02060473	0.02644967	0.01286615	
6.41	0.02099263	0.02054255	0.02638865	0.01281312	
6.42	0.02092855	0.02048063	0.02632790	0.01276036	
6.43	0.02086474	0.02041898	0.02626741	0.01270786	
6.44	0.02080121	0.02035759	0.02620719	0.01265562	
6.45	0.02073795	0.02029646	0.02614723	0.01260364	
6.46	0.02067497	0.02023559	0.02608754	0.01255191	
6.47	0.02061226	0.02017499	0.02602810	0.01250044	
6.48	0.02054982	0.02011464	0.02596893	0.01244923	
6.49	0.02048765	0.02005455	0.02591001	0.01239827	
6.5	0.02042575	0.01999471	0.02585135	0.01234756	
6.51	0.02036411	0.01993513	0.02579295	0.01229711	
6.52	0.02030274	0.01987580	0.02573479	0.01224690	
6.53	0.02024163	0.01981672	0.02567689	0.01219693	
6.54	0.02018079	0.01975789	0.02561924	0.01214722	
6.55	0.02012020	0.01969931	0.02556185	0.01209774	
6.56	0.02005988	0.01964098	0.02550470	0.01204851	
6.57	0.01999981	0.01958289	0.02544779	0.01199952	
6.58	0.01994000	0.01952505	0.02539113	0.01195078	
6.59	0.01988044	0.01946745	0.02533472	0.01190227	
6.6	0.01982114	0.01941010	0.02527855	0.01185399	
6.61	0.01976209	0.01935298	0.02522262	0.01180595	
6.62	0.01970329	0.01929610	0.02516694	0.01175815	
6.63	0.01964474	0.01923947	0.02511149	0.01171058	
6.64	0.01958644	0.01918307	0.02505628	0.01166324	
6.65	0.01952839	0.01912690	0.02500131	0.01161613	
6.66	0.01947058	0.01907097	0.02494657	0.01156925	
6.67	0.01941302	0.01901527	0.02489207	0.01152260	
6.68	0.01935570	0.01895981	0.02483780	0.01147618	
6.69	0.01929862	0.01890457	0.02478376	0.01142998	
6.7	0.01924178	0.01884957	0.02472995	0.01138400	
6.71	0.01918518	0.01879479	0.02467638	0.01133824	
6.72	0.01912882	0.01874025	0.02462303	0.01129271	
6.73	0.01907270	0.01868592	0.02456991	0.01124740	
6.74	0.01901681	0.01863183	0.02451701	0.01120230	
6.75	0.01896116	0.01857795	0.02446434	0.01115742	
6.76	0.01890574	0.01852430	0.02441189	0.01111276	
6.77	0.01885055	0.01847087	0.02435967	0.01106831	
6.78	0.01879559	0.01841766	0.02430767	0.01102408	
6.79	0.01874086	0.01836467	0.02425588	0.01098006	
6.8	0.01868636	0.01831190	0.02420432	0.01093625	
6.81	0.01863209	0.01825935	0.02415297	0.01089265	
6.82	0.01857804	0.01820701	0.02410185	0.01084926	
6.83	0.01852421	0.01815488	0.02405093	0.01080607	
6.84	0.01847061	0.01810297	0.02400023	0.01076309	
6.85	0.01841723	0.01805127	0.02394975	0.01072032	
6.86	0.01836408	0.01799978	0.02389948	0.01067775	
6.87	0.01831114	0.01794851	0.02384942	0.01063538	
6.88	0.01825842	0.01789744	0.02379957	0.01059322	
6.89	0.01820592	0.01784658	0.02374992	0.01055125	
6.9	0.01815364	0.01779593	0.02370049	0.01050949	
6.91	0.01810157	0.01774548	0.02365126	0.01046792	
6.92	0.01804971	0.01769524	0.02360224	0.01042655	
6.93	0.01799807	0.01764520	0.02355343	0.01038538	
6.94	0.01794664	0.01759536	0.02350482	0.01034440	
6.95	0.01789542	0.01754573	0.02345641	0.01030361	
6.96	0.01784441	0.01749630	0.02340820	0.01026302	
6.97	0.01779361	0.01744706	0.02336020	0.01022261	
6.98	0.01774302	0.01739803	0.02331239	0.01018240	
6.99	0.01769263	0.01734919	0.02326478	0.01014238	
7	0.01764245	0.01730055	0.02321737	0.01010255	
7.01	0.01759248	0.01725211	0.02317016	0.01006290	
7.02	0.01754270	0.01720386	0.02312314	0.01002344	
7.03	0.01749313	0.01715580	0.02307632	0.00998416	
7.04	0.01744376	0.01710794	0.02302969	0.00994507	
7.05	0.01739459	0.01706027	0.02298325	0.00990616	
7.06	0.01734562	0.01701279	0.02293701	0.00986744	
7.07	0.01729685	0.01696550	0.02289096	0.00982889	
7.08	0.01724828	0.01691839	0.02284509	0.00979053	
7.09	0.01719990	0.01687148	0.02279942	0.00975234	
7.1	0.01715171	0.01682475	0.02275393	0.00971433	
7.11	0.01710372	0.01677821	0.02270863	0.00967650	
7.12	0.01705593	0.01673185	0.02266352	0.00963884	
7.13	0.01700832	0.01668568	0.02261859	0.00960136	
7.14	0.01696091	0.01663969	0.02257385	0.00956406	
7.15	0.01691369	0.01659388	0.02252929	0.00952692	
7.16	0.01686665	0.01654826	0.02248491	0.00948996	
7.17	0.01681981	0.01650281	0.02244071	0.00945317	
7.18	0.01677315	0.01645755	0.02239670	0.00941655	
7.19	0.01672668	0.01641246	0.02235286	0.00938010	
7.2	0.01668039	0.01636755	0.02230920	0.00934381	
7.21	0.01663429	0.01632282	0.02226573	0.00930770	
7.22	0.01658837	0.01627826	0.02222242	0.00927175	
7.23	0.01654264	0.01623388	0.02217930	0.00923597	
7.24	0.01649708	0.01618967	0.02213635	0.00920035	
7.25	0.01645171	0.01614564	0.02209357	0.00916489	
7.26	0.01640651	0.01610177	0.02205097	0.00912960	
7.27	0.01636150	0.01605808	0.02200854	0.00909447	
7.28	0.01631666	0.01601456	0.02196628	0.00905950	
7.29	0.01627200	0.01597122	0.02192419	0.00902469	
7.3	0.01622752	0.01592803	0.02188227	0.00899004	
7.31	0.01618321	0.01588502	0.02184052	0.00895554	
7.32	0.01613908	0.01584218	0.02179894	0.00892121	
7.33	0.01609512	0.01579950	0.02175753	0.00888703	
7.34	0.01605133	0.01575699	0.02171629	0.00885301	
7.35	0.01600772	0.01571464	0.02167521	0.00881914	
7.36	0.01596427	0.01567245	0.02163429	0.00878543	
7.37	0.01592100	0.01563043	0.02159355	0.00875186	
7.38	0.01587789	0.01558858	0.02155296	0.00871846	
7.39	0.01583496	0.01554688	0.02151254	0.00868520	
7.4	0.01579219	0.01550534	0.02147227	0.00865209	
7.41	0.01574959	0.01546397	0.02143217	0.00861914	
7.42	0.01570715	0.01542275	0.02139224	0.00858633	
7.43	0.01566488	0.01538169	0.02135246	0.00855367	
7.44	0.01562277	0.01534079	0.02131283	0.00852116	
7.45	0.01558083	0.01530005	0.02127337	0.00848880	
7.46	0.01553905	0.01525946	0.02123407	0.00845658	
7.47	0.01549743	0.01521903	0.02119492	0.00842450	
7.48	0.01545597	0.01517876	0.02115592	0.00839257	
7.49	0.01541467	0.01513863	0.02111708	0.00836079	
7.5	0.01537353	0.01509866	0.02107840	0.00832914	
7.51	0.01533256	0.01505885	0.02103987	0.00829764	
7.52	0.01529173	0.01501918	0.02100149	0.00826628	
7.53	0.01525107	0.01497967	0.02096327	0.00823506	
7.54	0.01521056	0.01494030	0.02092519	0.00820398	
7.55	0.01517021	0.01490109	0.02088727	0.00817304	
7.56	0.01513001	0.01486202	0.02084950	0.00814224	
7.57	0.01508997	0.01482310	0.02081187	0.00811157	
7.58	0.01505008	0.01478433	0.02077439	0.00808104	
7.59	0.01501034	0.01474571	0.02073707	0.00805065	
7.6	0.01497075	0.01470723	0.02069988	0.00802039	
7.61	0.01493132	0.01466890	0.02066285	0.00799027	
7.62	0.01489203	0.01463071	0.02062596	0.00796028	
7.63	0.01485290	0.01459266	0.02058922	0.00793042	
7.64	0.01481391	0.01455476	0.02055262	0.00790070	
7.65	0.01477507	0.01451700	0.02051616	0.00787111	
7.66	0.01473638	0.01447938	0.02047984	0.00784165	
7.67	0.01469784	0.01444191	0.02044367	0.00781232	
7.68	0.01465944	0.01440457	0.02040764	0.00778311	
7.69	0.01462119	0.01436737	0.02037175	0.00775404	
7.7	0.01458308	0.01433032	0.02033600	0.00772510	
7.71	0.01454511	0.01429340	0.02030039	0.00769628	
7.72	0.01450729	0.01425661	0.02026492	0.00766759	
7.73	0.01446961	0.01421997	0.02022959	0.00763903	
7.74	0.01443208	0.01418346	0.02019440	0.00761059	
7.75	0.01439468	0.01414709	0.02015934	0.00758228	
7.76	0.01435742	0.01411085	0.02012442	0.00755409	
7.77	0.01432031	0.01407475	0.02008963	0.00752602	
7.78	0.01428333	0.01403878	0.02005498	0.00749808	
7.79	0.01424649	0.01400294	0.02002046	0.00747026	
7.8	0.01420979	0.01396724	0.01998608	0.00744256	
7.81	0.01417323	0.01393167	0.01995183	0.00741498	
7.82	0.01413680	0.01389623	0.01991771	0.00738752	
7.83	0.01410051	0.01386092	0.01988372	0.00736019	
7.84	0.01406435	0.01382574	0.01984987	0.00733297	
7.85	0.01402833	0.01379069	0.01981615	0.00730587	
7.86	0.01399244	0.01375577	0.01978255	0.00727889	
7.87	0.01395669	0.01372097	0.01974909	0.00725202	
7.88	0.01392106	0.01368631	0.01971575	0.00722527	
7.89	0.01388557	0.01365177	0.01968254	0.00719864	
7.9	0.01385021	0.01361735	0.01964946	0.00717212	
7.91	0.01381499	0.01358307	0.01961651	0.00714572	
7.92	0.01377989	0.01354891	0.01958368	0.00711943	
7.93	0.01374492	0.01351487	0.01955098	0.00709326	
7.94	0.01371008	0.01348096	0.01951841	0.00706720	
7.95	0.01367537	0.01344717	0.01948595	0.00704125	
7.96	0.01364078	0.01341350	0.01945363	0.00701541	
7.97	0.01360632	0.01337996	0.01942142	0.00698968	
7.98	0.01357199	0.01334654	0.01938934	0.00696407	
7.99	0.01353779	0.01331323	0.01935738	0.00693856	
8	0.01350371	0.01328005	0.01932555	0.00691317	
8.01	0.01346975	0.01324699	0.01929383	0.00688788	
8.02	0.01343592	0.01321405	0.01926224	0.00686270	
8.03	0.01340221	0.01318123	0.01923076	0.00683763	
8.04	0.01336862	0.01314853	0.01919941	0.00681267	
8.05	0.01333516	0.01311594	0.01916817	0.00678781	
8.06	0.01330182	0.01308347	0.01913706	0.00676306	
8.07	0.01326860	0.01305112	0.01910606	0.00673842	
8.08	0.01323550	0.01301888	0.01907518	0.00671388	
8.09	0.01320252	0.01298676	0.01904441	0.00668944	
8.1	0.01316966	0.01295476	0.01901376	0.00666511	
8.11	0.01313692	0.01292287	0.01898323	0.00664089	
8.12	0.01310430	0.01289109	0.01895281	0.00661676	
8.13	0.01307179	0.01285943	0.01892251	0.00659274	
8.14	0.01303940	0.01282788	0.01889232	0.00656882	
8.15	0.01300713	0.01279644	0.01886225	0.00654500	
8.16	0.01297498	0.01276512	0.01883229	0.00652129	
8.17	0.01294294	0.01273390	0.01880244	0.00649767	
8.18	0.01291101	0.01270280	0.01877270	0.00647415	
8.19	0.01287920	0.01267181	0.01874308	0.00645073	
8.2	0.01284751	0.01264093	0.01871356	0.00642742	
8.21	0.01281592	0.01261015	0.01868416	0.00640420	
8.22	0.01278445	0.01257949	0.01865487	0.00638107	
8.23	0.01275310	0.01254893	0.01862568	0.00635805	
8.24	0.01272185	0.01251849	0.01859661	0.00633512	
8.25	0.01269072	0.01248815	0.01856764	0.00631229	
8.26	0.01265969	0.01245791	0.01853879	0.00628955	
8.27	0.01262878	0.01242779	0.01851004	0.00626691	
8.28	0.01259798	0.01239777	0.01848140	0.00624437	
8.29	0.01256728	0.01236785	0.01845286	0.00622192	
8.3	0.01253670	0.01233804	0.01842443	0.00619956	
8.31	0.01250622	0.01230833	0.01839611	0.00617730	
8.32	0.01247586	0.01227873	0.01836789	0.00615513	
8.33	0.01244559	0.01224924	0.01833978	0.00613305	
8.34	0.01241544	0.01221984	0.01831177	0.00611106	
8.35	0.01238539	0.01219055	0.01828387	0.00608917	
8.36	0.01235545	0.01216136	0.01825607	0.00606737	
8.37	0.01232562	0.01213227	0.01822837	0.00604566	
8.38	0.01229588	0.01210328	0.01820077	0.00602403	
8.39	0.01226626	0.01207440	0.01817328	0.00600250	
8.4	0.01223673	0.01204561	0.01814589	0.00598106	
8.41	0.01220731	0.01201693	0.01811860	0.00595971	
8.42	0.01217800	0.01198834	0.01809141	0.00593844	
8.43	0.01214878	0.01195985	0.01806432	0.00591727	
8.44	0.01211967	0.01193147	0.01803733	0.00589618	
8.45	0.01209066	0.01190317	0.01801044	0.00587518	
8.46	0.01206175	0.01187498	0.01798365	0.00585426	
8.47	0.01203295	0.01184689	0.01795696	0.00583343	
8.48	0.01200424	0.01181889	0.01793036	0.00581269	
8.49	0.01197563	0.01179099	0.01790387	0.00579203	
8.5	0.01194712	0.01176318	0.01787747	0.00577146	
8.51	0.01191871	0.01173547	0.01785117	0.00575097	
8.52	0.01189040	0.01170785	0.01782496	0.00573057	
8.53	0.01186219	0.01168033	0.01779885	0.00571025	
8.54	0.01183407	0.01165291	0.01777284	0.00569002	
8.55	0.01180606	0.01162558	0.01774692	0.00566986	
8.56	0.01177813	0.01159834	0.01772109	0.00564979	
8.57	0.01175031	0.01157119	0.01769536	0.00562981	
8.58	0.01172258	0.01154414	0.01766973	0.00560990	
8.59	0.01169495	0.01151718	0.01764419	0.00559008	
8.6	0.01166741	0.01149031	0.01761874	0.00557033	
8.61	0.01163996	0.01146353	0.01759338	0.00555067	
8.62	0.01161261	0.01143684	0.01756812	0.00553109	
8.63	0.01158536	0.01141025	0.01754295	0.00551158	
8.64	0.01155820	0.01138374	0.01751786	0.00549216	
8.65	0.01153113	0.01135733	0.01749288	0.00547282	
8.66	0.01150415	0.01133100	0.01746798	0.00545355	
8.67	0.01147726	0.01130476	0.01744317	0.00543436	
8.68	0.01145047	0.01127861	0.01741845	0.00541525	
8.69	0.01142377	0.01125255	0.01739382	0.00539622	
8.7	0.01139716	0.01122658	0.01736928	0.00537727	
8.71	0.01137064	0.01120069	0.01734483	0.00535839	
8.72	0.01134421	0.01117490	0.01732047	0.00533959	
8.73	0.01131786	0.01114918	0.01729620	0.00532086	
8.74	0.01129161	0.01112356	0.01727201	0.00530221	
8.75	0.01126545	0.01109802	0.01724791	0.00528363	
8.76	0.01123938	0.01107257	0.01722390	0.00526513	
8.77	0.01121339	0.01104720	0.01719997	0.00524671	
8.78	0.01118749	0.01102192	0.01717613	0.00522836	
8.79	0.01116168	0.01099672	0.01715238	0.00521008	
8.8	0.01113596	0.01097160	0.01712871	0.00519188	
8.81	0.01111032	0.01094657	0.01710513	0.00517375	
8.82	0.01108477	0.01092162	0.01708163	0.00515569	
8.83	0.01105930	0.01089676	0.01705822	0.00513770	
8.84	0.01103392	0.01087198	0.01703489	0.00511979	
8.85	0.01100863	0.01084728	0.01701164	0.00510195	
8.86	0.01098342	0.01082266	0.01698848	0.00508418	
8.87	0.01095829	0.01079812	0.01696540	0.00506648	
8.88	0.01093325	0.01077367	0.01694240	0.00504885	
8.89	0.01090829	0.01074930	0.01691949	0.00503130	
8.9	0.01088342	0.01072500	0.01689665	0.00501381	
8.91	0.01085863	0.01070079	0.01687390	0.00499639	
8.92	0.01083392	0.01067666	0.01685123	0.00497904	
8.93	0.01080929	0.01065260	0.01682864	0.00496176	
8.94	0.01078475	0.01062863	0.01680614	0.00494455	
8.95	0.01076028	0.01060473	0.01678371	0.00492741	
8.96	0.01073590	0.01058092	0.01676136	0.00491034	
8.97	0.01071160	0.01055718	0.01673909	0.00489333	
8.98	0.01068738	0.01053352	0.01671690	0.00487639	
8.99	0.01066324	0.01050993	0.01669479	0.00485952	
9	0.01063918	0.01048643	0.01667276	0.00484271	
9.01	0.01061519	0.01046300	0.01665080	0.00482597	
9.02	0.01059129	0.01043965	0.01662893	0.00480930	
9.03	0.01056747	0.01041637	0.01660713	0.00479270	
9.04	0.01054372	0.01039317	0.01658541	0.00477616	
9.05	0.01052005	0.01037005	0.01656377	0.00475968	
9.06	0.01049646	0.01034700	0.01654220	0.00474327	
9.07	0.01047295	0.01032402	0.01652071	0.00472692	
9.08	0.01044952	0.01030112	0.01649929	0.00471064	
9.09	0.01042616	0.01027829	0.01647795	0.00469442	
9.1	0.01040288	0.01025554	0.01645669	0.00467827	
9.11	0.01037967	0.01023287	0.01643550	0.00466218	
9.12	0.01035654	0.01021026	0.01641439	0.00464615	
9.13	0.01033348	0.01018773	0.01639335	0.00463019	
9.14	0.01031050	0.01016527	0.01637238	0.00461429	
9.15	0.01028760	0.01014288	0.01635149	0.00459845	
9.16	0.01026477	0.01012057	0.01633067	0.00458267	
9.17	0.01024201	0.01009833	0.01630993	0.00456695	
9.18	0.01021933	0.01007616	0.01628926	0.00455130	
9.19	0.01019672	0.01005406	0.01626866	0.00453571	
9.2	0.01017418	0.01003203	0.01624813	0.00452017	
9.21	0.01015172	0.01001007	0.01622768	0.00450470	
9.22	0.01012933	0.00998818	0.01620729	0.00448929	
9.23	0.01010701	0.00996636	0.01618698	0.00447394	
9.24	0.01008477	0.00994462	0.01616674	0.00445865	
9.25	0.01006259	0.00992294	0.01614657	0.00444341	
9.26	0.01004049	0.00990133	0.01612647	0.00442824	
9.27	0.01001846	0.00987979	0.01610644	0.00441313	
9.28	0.00999650	0.00985832	0.01608649	0.00439807	
9.29	0.00997461	0.00983691	0.01606660	0.00438307	
9.3	0.00995279	0.00981558	0.01604678	0.00436813	
9.31	0.00993104	0.00979431	0.01602703	0.00435325	
9.32	0.00990936	0.00977311	0.01600735	0.00433843	
9.33	0.00988775	0.00975198	0.01598773	0.00432366	
9.34	0.00986620	0.00973091	0.01596819	0.00430895	
9.35	0.00984473	0.00970991	0.01594871	0.00429430	
9.36	0.00982333	0.00968898	0.01592931	0.00427970	
9.37	0.00980199	0.00966811	0.01590997	0.00426516	
9.38	0.00978072	0.00964731	0.01589069	0.00425068	
9.39	0.00975952	0.00962658	0.01587149	0.00423625	
9.4	0.00973839	0.00960591	0.01585235	0.00422187	
9.41	0.00971732	0.00958530	0.01583327	0.00420756	
9.42	0.00969632	0.00956476	0.01581427	0.00419329	
9.43	0.00967539	0.00954429	0.01579533	0.00417909	
9.44	0.00965452	0.00952388	0.01577645	0.00416493	
9.45	0.00963372	0.00950353	0.01575764	0.00415083	
9.46	0.00961298	0.00948325	0.01573890	0.00413679	
9.47	0.00959231	0.00946303	0.01572022	0.00412279	
9.48	0.00957171	0.00944287	0.01570160	0.00410886	
9.49	0.00955117	0.00942277	0.01568305	0.00409497	
9.5	0.00953069	0.00940274	0.01566457	0.00408114	
9.51	0.00951028	0.00938277	0.01564614	0.00406736	
9.52	0.00948993	0.00936287	0.01562778	0.00405363	
9.53	0.00946965	0.00934302	0.01560949	0.00403996	
9.54	0.00944943	0.00932324	0.01559126	0.00402634	
9.55	0.00942928	0.00930352	0.01557309	0.00401277	
9.56	0.00940918	0.00928386	0.01555498	0.00399925	
9.57	0.00938915	0.00926426	0.01553694	0.00398578	
9.58	0.00936919	0.00924472	0.01551895	0.00397236	
9.59	0.00934928	0.00922524	0.01550103	0.00395900	
9.6	0.00932944	0.00920582	0.01548317	0.00394568	
9.61	0.00930966	0.00918646	0.01546538	0.00393242	
9.62	0.00928994	0.00916717	0.01544764	0.00391920	
9.63	0.00927028	0.00914793	0.01542996	0.00390604	
9.64	0.00925068	0.00912875	0.01541235	0.00389292	
9.65	0.00923114	0.00910963	0.01539480	0.00387986	
9.66	0.00921167	0.00909056	0.01537730	0.00386684	
9.67	0.00919225	0.00907156	0.01535987	0.00385388	
9.68	0.00917289	0.00905262	0.01534249	0.00384096	
9.69	0.00915360	0.00903373	0.01532518	0.00382809	
9.7	0.00913436	0.00901490	0.01530792	0.00381527	
9.71	0.00911519	0.00899613	0.01529073	0.00380250	
9.72	0.00909607	0.00897741	0.01527359	0.00378977	
