Energia	P_OscStd	P_InvDcy	P_VEP	P_NSI	P_VIS_1	P_VIS_2	
2.41	0.09004032	0.084746879	0.090319543	0.083232636	0.045087303	1.1298103e-05	
2.42	0.089884454	0.084619515	0.090198569	0.082990896	0.044913214	1.1250706e-05	
2.43	0.089722583	0.084486335	0.090071469	0.082744391	0.044740497	1.1203623e-05	
2.44	0.089554906	0.084347521	0.089938438	0.082493312	0.044569136	1.1156852e-05	
2.45	0.089381615	0.084203251	0.089799663	0.082237844	0.044399114	1.1110392e-05	
2.46	0.089202899	0.0840537	0.089655331	0.081978168	0.044230415	1.1064239e-05	
2.47	0.089018943	0.083899038	0.089505622	0.08171446	0.044063024	1.1018392e-05	
2.48	0.088829925	0.083739431	0.089350712	0.081446891	0.043896925	1.0972848e-05	
2.49	0.088636022	0.083575042	0.089190774	0.081175627	0.043732102	1.0927606e-05	
2.5	0.088437404	0.08340603	0.089025975	0.08090083	0.043568542	1.0882664e-05	
2.51	0.088234239	0.083232551	0.08885648	0.080622659	0.043406228	1.0838018e-05	
2.52	0.088026689	0.083054755	0.088682449	0.080341266	0.043245147	1.0793668e-05	
2.53	0.087814913	0.08287279	0.088504039	0.080056801	0.043085284	1.0749611e-05	
2.54	0.087599067	0.082686801	0.088321402	0.079769409	0.042926626	1.0705845e-05	
2.55	0.087379301	0.08249693	0.088134687	0.079479232	0.042769157	1.0662368e-05	
2.56	0.087155763	0.082303312	0.087944039	0.079186406	0.042612865	1.0619177e-05	
2.57	0.086928596	0.082106084	0.087749599	0.078891065	0.042457736	1.0576271e-05	
2.58	0.08669794	0.081905375	0.087551507	0.07859334	0.042303757	1.0533648e-05	
2.59	0.086463932	0.081701314	0.087349896	0.078293356	0.042150915	1.0491305e-05	
2.6	0.086226705	0.081494025	0.087144899	0.077991235	0.041999197	1.044924e-05	
2.61	0.085986389	0.08128363	0.086936642	0.077687097	0.04184859	1.0407452e-05	
2.62	0.085743109	0.081070247	0.086725251	0.077381058	0.041699082	1.0365939e-05	
2.63	0.085496988	0.080853992	0.086510848	0.07707323	0.041550661	1.0324697e-05	
2.64	0.085248147	0.080634978	0.086293551	0.076763721	0.041403315	1.0283726e-05	
2.65	0.084996702	0.080413315	0.086073476	0.076452639	0.041257031	1.0243023e-05	
2.66	0.084742767	0.08018911	0.085850736	0.076140086	0.041111798	1.0202586e-05	
2.67	0.084486452	0.079962467	0.085625439	0.075826162	0.040967605	1.0162414e-05	
2.68	0.084227865	0.079733487	0.085397693	0.075510963	0.04082444	1.0122503e-05	
2.69	0.083967111	0.079502272	0.085167602	0.075194585	0.040682291	1.0082853e-05	
2.7	0.083704292	0.079268916	0.084935267	0.074877118	0.040541149	1.0043461e-05	
2.71	0.083439508	0.079033514	0.084700788	0.074558651	0.040401001	1.0004325e-05	
2.72	0.083172854	0.078796158	0.08446426	0.07423927	0.040261838	9.9654435e-06	
2.73	0.082904425	0.078556937	0.084225776	0.073919058	0.040123649	9.9268143e-06	
2.74	0.082634313	0.078315938	0.083985429	0.073598096	0.039986423	9.8884355e-06	
2.75	0.082362606	0.078073246	0.083743306	0.073276462	0.03985015	9.8503052e-06	
2.76	0.082089392	0.077828943	0.083499494	0.072954233	0.039714819	9.8124215e-06	
2.77	0.081814754	0.07758311	0.083254077	0.072631482	0.039580422	9.7747824e-06	
2.78	0.081538774	0.077335824	0.083007137	0.072308281	0.039446948	9.7373861e-06	
2.79	0.081261532	0.077087163	0.082758753	0.071984698	0.039314388	9.7002306e-06	
2.8	0.080983106	0.0768372	0.082509003	0.0716608	0.039182731	9.6633142e-06	
2.81	0.08070357	0.076586007	0.082257963	0.071336653	0.039051969	9.626635e-06	
2.82	0.080422998	0.076333654	0.082005704	0.071012319	0.038922092	9.590191e-06	
2.83	0.080141461	0.076080209	0.081752299	0.07068786	0.038793092	9.5539806e-06	
2.84	0.079859028	0.07582574	0.081497816	0.070363333	0.038664958	9.5180018e-06	
2.85	0.079575766	0.07557031	0.081242324	0.070038795	0.038537683	9.4822529e-06	
2.86	0.079291741	0.075313983	0.080985888	0.069714303	0.038411257	9.446732e-06	
2.87	0.079007016	0.075056819	0.080728571	0.06938991	0.038285671	9.4114374e-06	
2.88	0.078721652	0.074798878	0.080470435	0.069065666	0.038160918	9.3763674e-06	
2.89	0.078435709	0.074540217	0.08021154	0.068741622	0.038036989	9.34152e-06	
2.9	0.078149246	0.074280894	0.079951945	0.068417826	0.037913876	9.3068937e-06	
2.91	0.077862318	0.074020962	0.079691707	0.068094324	0.037791569	9.2724867e-06	
2.92	0.077574981	0.073760474	0.079430881	0.067771163	0.037670062	9.2382972e-06	
2.93	0.077287287	0.073499482	0.07916952	0.067448384	0.037549347	9.2043236e-06	
2.94	0.076999288	0.073238037	0.078907677	0.067126031	0.037429415	9.1705641e-06	
2.95	0.076711034	0.072976186	0.078645401	0.066804143	0.037310258	9.137017e-06	
2.96	0.076422574	0.072713977	0.078382743	0.066482761	0.03719187	9.1036808e-06	
2.97	0.076133954	0.072451457	0.07811975	0.066161921	0.037074242	9.0705537e-06	
2.98	0.07584522	0.072188669	0.077856468	0.06584166	0.036957367	9.037634e-06	
2.99	0.075556418	0.071925657	0.077592942	0.065522013	0.036841238	9.0049203e-06	
3	0.075267589	0.071662463	0.077329216	0.065203015	0.036725847	8.9724107e-06	
3.01	0.074978774	0.071399129	0.077065332	0.064884698	0.036611188	8.9401038e-06	
3.02	0.074690016	0.071135692	0.076801331	0.064567093	0.036497253	8.907998e-06	
3.03	0.074401352	0.070872193	0.076537253	0.064250231	0.036384035	8.8760915e-06	
3.04	0.074112821	0.070608667	0.076273136	0.063934141	0.036271528	8.844383e-06	
3.05	0.073824458	0.070345153	0.076009019	0.06361885	0.036159724	8.8128708e-06	
3.06	0.073536301	0.070081683	0.075744937	0.063304387	0.036048617	8.7815533e-06	
3.07	0.073248382	0.069818294	0.075480926	0.062990777	0.035938201	8.7504291e-06	
3.08	0.072960737	0.069555017	0.075217019	0.062678044	0.035828468	8.7194966e-06	
3.09	0.072673395	0.069291885	0.074953251	0.062366214	0.035719412	8.6887543e-06	
3.1	0.07238639	0.069028928	0.074689653	0.062055309	0.035611028	8.6582007e-06	
3.11	0.072099751	0.068766177	0.074426255	0.061745351	0.035503308	8.6278344e-06	
3.12	0.071813508	0.068503662	0.074163089	0.061436361	0.035396247	8.5976538e-06	
3.13	0.071527688	0.068241409	0.073900183	0.061128361	0.035289838	8.5676575e-06	
3.14	0.071242319	0.067979447	0.073637566	0.060821368	0.035184076	8.537844e-06	
3.15	0.070957428	0.067717802	0.073375264	0.060515403	0.035078953	8.5082119e-06	
3.16	0.070673039	0.0674565	0.073113305	0.060210482	0.034974466	8.4787599e-06	
3.17	0.070389178	0.067195565	0.072851714	0.059906623	0.034870606	8.4494864e-06	
3.18	0.070105869	0.066935021	0.072590515	0.059603843	0.03476737	8.42039e-06	
3.19	0.069823134	0.066674893	0.072329733	0.059302156	0.034664751	8.3914695e-06	
3.2	0.069540995	0.066415201	0.07206939	0.059001579	0.034562743	8.3627233e-06	
3.21	0.069259475	0.066155969	0.07180951	0.058702124	0.034461342	8.3341502e-06	
3.22	0.068978593	0.065897216	0.071550113	0.058403806	0.034360541	8.3057487e-06	
3.23	0.06869837	0.065638964	0.071291221	0.058106637	0.034260335	8.2775176e-06	
3.24	0.068418825	0.065381231	0.071032853	0.05781063	0.034160719	8.2494555e-06	
3.25	0.068139976	0.065124038	0.07077503	0.057515796	0.034061688	8.2215611e-06	
3.26	0.067861842	0.064867402	0.07051777	0.057222147	0.033963235	8.193833e-06	
3.27	0.067584439	0.06461134	0.070261091	0.056929692	0.033865357	8.16627e-06	
3.28	0.067307783	0.06435587	0.070005011	0.056638442	0.033768049	8.1388708e-06	
3.29	0.067031892	0.064101009	0.069749546	0.056348406	0.033671304	8.1116341e-06	
3.3	0.066756779	0.063846772	0.069494713	0.056059593	0.033575118	8.0845587e-06	
3.31	0.066482461	0.063593174	0.069240528	0.055772012	0.033479486	8.0576432e-06	
3.32	0.06620895	0.063340231	0.068987005	0.055485669	0.033384404	8.0308865e-06	
3.33	0.065936261	0.063087956	0.06873416	0.055200572	0.033289867	8.0042873e-06	
3.34	0.065664407	0.062836363	0.068482006	0.054916729	0.033195869	7.9778443e-06	
3.35	0.065393399	0.062585465	0.068230556	0.054634145	0.033102406	7.9515565e-06	
3.36	0.06512325	0.062335275	0.067979824	0.054352827	0.033009474	7.9254225e-06	
3.37	0.064853972	0.062085806	0.067729822	0.05407278	0.032917067	7.8994412e-06	
3.38	0.064585575	0.061837068	0.067480562	0.053794009	0.032825183	7.8736114e-06	
3.39	0.06431807	0.061589073	0.067232055	0.053516518	0.032733815	7.847932e-06	
3.4	0.064051467	0.061341832	0.066984313	0.053240313	0.032642959	7.8224017e-06	
3.41	0.063785776	0.061095355	0.066737346	0.052965398	0.032552612	7.7970195e-06	
3.42	0.063521005	0.060849652	0.066491164	0.052691775	0.032462769	7.7717841e-06	
3.43	0.063257163	0.060604733	0.066245777	0.052419448	0.032373425	7.7466944e-06	
3.44	0.062994259	0.060360606	0.066001195	0.052148419	0.032284576	7.7217494e-06	
3.45	0.062732301	0.060117281	0.065757425	0.051878693	0.032196219	7.696948e-06	
3.46	0.062471296	0.059874766	0.065514477	0.05161027	0.032108349	7.6722889e-06	
3.47	0.062211251	0.059633068	0.065272358	0.051343152	0.032020962	7.6477712e-06	
3.48	0.061952173	0.059392196	0.065031077	0.051077342	0.031934054	7.6233937e-06	
3.49	0.061694068	0.059152156	0.06479064	0.05081284	0.031847621	7.5991553e-06	
3.5	0.061436943	0.058912956	0.064551055	0.050549648	0.031761659	7.5750551e-06	
3.51	0.061180803	0.058674602	0.064312329	0.050287766	0.031676164	7.551092e-06	
3.52	0.060925653	0.0584371	0.064074467	0.050027195	0.031591133	7.5272648e-06	
3.53	0.060671499	0.058200456	0.063837476	0.049767935	0.031506561	7.5035726e-06	
3.54	0.060418346	0.057964676	0.063601362	0.049509986	0.031422445	7.4800144e-06	
3.55	0.060166197	0.057729765	0.063366129	0.049253349	0.03133878	7.4565891e-06	
3.56	0.059915057	0.057495729	0.063131783	0.048998021	0.031255565	7.4332957e-06	
3.57	0.05966493	0.057262571	0.062898329	0.048744004	0.031172794	7.4101333e-06	
3.58	0.05941582	0.057030297	0.062665771	0.048491295	0.031090464	7.3871008e-06	
3.59	0.059167729	0.056798911	0.062434114	0.048239894	0.031008571	7.3641972e-06	
3.6	0.058920661	0.056568416	0.062203362	0.047989799	0.030927113	7.3414216e-06	
